"Label","Logset","StringSet","MatchOffset","LengthSet"
"Binary-Validation-Error","29|41|37|","0","",""
"Internal-Error","47|46|29|15|25|54|56|57|58","12|1|9","",""
"Internal-Error-PR","36","",""
"Manifest-AppsAndFeaturesVersion-Error","36|29|30|14|42|46|48|34","1|2","",""
"Manifest-Installer-Validation-Error","37|36|29|42|43|48","1|2","",""
"Manifest-Validation-Error","37","11|8|2|10","",""
"PullRequest-Error","36","13","","0"
"Validation-Forbidden-URL-Error","29|21|23|53|55","9","",""
"Error-Hash-Mismatch","54","0","","10"
"Internal-Error-Manifest-Installer","37|36","9|0","1|0","3"
